Board	Ref.	Pos X	Pos Y	Pos Z	Rotation	Part Number	Place Before	Gluing	Skip	Main Mark	Sub Mark	Sub Mark1	Sub Mark2	Carry Mode	Stack Target	Memo	Tag	Assign
5	C218	107.486	60.800	0.000	0.00	1BB01T0350		Yes	No	Mark1	Mark2			Arc			No	S38_1
12	C218	107.486	75.930	0.000	0.00	1BB01T0350		Yes	No	Mark1	Mark2			Arc			No	S38_1
1	C219	54.533	48.244	0.000	0.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
8	C219	54.533	63.374	0.000	0.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
9	C219	54.533	78.504	0.000	0.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
2	C219	72.663	48.244	0.000	0.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
7	C219	72.663	63.374	0.000	0.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
10	C219	72.663	78.504	0.000	0.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
3	C219	90.793	48.244	0.000	0.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
6	C219	90.793	63.374	0.000	0.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
11	C219	90.793	78.504	0.000	0.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
4	C219	108.923	48.244	0.000	0.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
5	C219	108.923	63.374	0.000	0.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
12	C219	108.923	78.504	0.000	0.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
1	C220	56.694	42.318	0.000	90.00	1BB01T0416		Yes	No	Mark1	Mark2			Arc			No	S38_1
8	C220	56.694	57.448	0.000	90.00	1BB01T0416		Yes	No	Mark1	Mark2			Arc			No	S38_1
9	C220	56.694	72.578	0.000	90.00	1BB01T0416		Yes	No	Mark1	Mark2			Arc			No	S38_1
2	C220	74.824	42.318	0.000	90.00	1BB01T0416		Yes	No	Mark1	Mark2			Arc			No	S38_1
7	C220	74.824	57.448	0.000	90.00	1BB01T0416		Yes	No	Mark1	Mark2			Arc			No	S38_1
10	C220	74.824	72.578	0.000	90.00	1BB01T0416		Yes	No	Mark1	Mark2			Arc			No	S38_1
